1628 1682 1656 1159 1689 1676 1703 1695 1672 1684 1705 1639 1639 1640 1471 1562 1615 1607 1716 1645

41

94 88 91 153 87 88 85 86 89 87 85 93 93 93 114 103 96 97 83 92

53 18 14 15

9490

0	0	0	0	0	0	0	0	0	46	0	112	51	0	0	166	0	0	0	128
274	0	0	2	260	0	0	155	0	320	260	386	325	147	90	440	0	0	270	402
368	94	0	96	354	79	79	249	44	414	354	480	419	241	184	534	14	27	364	496
272	0	0	0	258	0	0	153	0	318	258	384	323	145	88	438	0	0	268	400
14	0	0	0	0	0	0	0	0	60	0	126	65	0	0	180	0	0	10	142
289	15	0	17	275	0	0	170	0	335	275	401	340	162	105	455	0	0	285	417
289	15	0	17	275	0	0	170	0	335	275	401	340	162	105	455	0	0	285	417
119	0	0	0	105	0	0	0	0	165	105	231	170	0	0	285	0	0	115	247
324	50	0	52	310	35	35	205	0	370	310	436	375	197	140	490	0	0	320	452
0	0	0	0	0	0	0	0	0	0	0	66	5	0	0	120	0	0	0	82
14	0	0	0	0	0	0	0	0	60	0	126	65	0	0	180	0	0	10	142
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	16
0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	115	0	0	0	77
127	0	0	0	113	0	0	8	0	173	113	239	178	0	0	293	0	0	123	255
184	0	0	0	170	0	0	65	0	230	170	296	235	57	0	350	0	0	180	312
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
354	80	0	82	340	65	65	235	30	400	340	466	405	227	170	520	0	13	350	482
341	67	0	69	327	52	52	222	17	387	327	453	392	214	157	507	0	0	337	469
4	0	0	0	0	0	0	0	0	50	0	116	55	0	0	170	0	0	0	132
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0

0	274	368	272	14	289	289	119	324	0	14	0	0	127	184	0	354	341	4	0
0	0	94	0	0	15	15	0	50	0	0	0	0	0	0	0	80	67	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2	96	0	0	17	17	0	52	0	0	0	0	0	0	0	82	69	0	0
0	260	354	258	0	275	275	105	310	0	0	0	0	113	170	0	340	327	0	0
0	0	79	0	0	0	0	0	35	0	0	0	0	0	0	0	65	52	0	0
0	0	79	0	0	0	0	0	35	0	0	0	0	0	0	0	65	52	0	0
0	155	249	153	0	170	170	0	205	0	0	0	0	8	65	0	235	222	0	0
0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	30	17	0	0
46	320	414	318	60	335	335	165	370	0	60	0	0	173	230	0	400	387	50	0
0	260	354	258	0	275	275	105	310	0	0	0	0	113	170	0	340	327	0	0
112	386	480	384	126	401	401	231	436	66	126	0	61	239	296	0	466	453	116	0
51	325	419	323	65	340	340	170	375	5	65	0	0	178	235	0	405	392	55	0
0	147	241	145	0	162	162	0	197	0	0	0	0	0	57	0	227	214	0	0
0	90	184	88	0	105	105	0	140	0	0	0	0	0	0	0	170	157	0	0
166	440	534	438	180	455	455	285	490	120	180	54	115	293	350	0	520	507	170	38
0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0
0	270	364	268	10	285	285	115	320	0	10	0	0	123	180	0	350	337	0	0
128	402	496	400	142	417	417	247	452	82	142	16	77	255	312	0	482	469	132	0

0	0	0	770	0	0	0	0	0	0	0	0	0	0	260	0	0	0	0	0
100	0	0	870	0	30	0	0	0	0	0	0	50	100	360	0	0	0	0	0
230	130	0	1000	0	160	10	0	30	60	0	70	180	230	490	0	0	0	40	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
300	200	70	1070	0	230	80	10	100	130	30	140	250	300	560	0	10	0	110	60
70	0	0	840	0	0	0	0	0	0	0	0	20	70	330	0	0	0	0	0
220	120	0	990	0	150	0	0	20	50	0	60	170	220	480	0	0	0	30	0
290	190	60	1060	0	220	70	0	90	120	20	130	240	290	550	0	0	0	100	50
200	100	0	970	0	130	0	0	0	30	0	40	150	200	460	0	0	0	10	0
170	70	0	940	0	100	0	0	0	0	0	10	120	170	430	0	0	0	0	0
270	170	40	1040	0	200	50	0	70	100	0	110	220	270	530	0	0	0	80	30
160	60	0	930	0	90	0	0	0	0	0	0	110	160	420	0	0	0	0	0
50	0	0	820	0	0	0	0	0	0	0	0	0	50	310	0	0	0	0	0
0	0	0	770	0	0	0	0	0	0	0	0	0	0	260	0	0	0	0	0
0	0	0	510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
325	225	95	1095	25	255	105	35	125	155	55	165	275	325	585	0	35	25	135	85
290	190	60	1060	0	220	70	0	90	120	20	130	240	290	550	0	0	0	100	50
300	200	70	1070	0	230	80	10	100	130	30	140	250	300	560	0	10	0	110	60
190	90	0	960	0	120	0	0	0	20	0	30	140	190	450	0	0	0	0	0
240	140	10	1010	0	170	20	0	40	70	0	80	190	240	500	0	0	0	50	0

0	100	230	0	300	70	220	290	200	170	270	160	50	0	0	325	290	300	190	240
0	0	130	0	200	0	120	190	100	70	170	60	0	0	0	225	190	200	90	140
0	0	0	0	70	0	0	60	0	0	40	0	0	0	0	95	60	70	0	10
770	870	1000	0	1070	840	990	1060	970	940	1040	930	820	770	510	1095	1060	1070	960	1010
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0
0	30	160	0	230	0	150	220	130	100	200	90	0	0	0	255	220	230	120	170
0	0	10	0	80	0	0	70	0	0	50	0	0	0	0	105	70	80	0	20
0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	35	0	10	0	0
0	0	30	0	100	0	20	90	0	0	70	0	0	0	0	125	90	100	0	40
0	0	60	0	130	0	50	120	30	0	100	0	0	0	0	155	120	130	20	70
0	0	0	0	30	0	0	20	0	0	0	0	0	0	0	55	20	30	0	0
0	0	70	0	140	0	60	130	40	10	110	0	0	0	0	165	130	140	30	80
0	50	180	0	250	20	170	240	150	120	220	110	0	0	0	275	240	250	140	190
0	100	230	0	300	70	220	290	200	170	270	160	50	0	0	325	290	300	190	240
260	360	490	0	560	330	480	550	460	430	530	420	310	260	0	585	550	560	450	500
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	35	0	10	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0
0	0	40	0	110	0	30	100	10	0	80	0	0	0	0	135	100	110	0	50
0	0	0	0	60	0	0	50	0	0	30	0	0	0	0	85	50	60	0	0
