1441 1455 1457 1354 1514 1401 1208 1486 1376 1432

60

64 63 63 70 59 67 80 61 68 64

8 19 51 22

4353

0	70	417	165	125	0	280	17	269	0
0	0	347	95	55	0	210	0	199	0
0	0	0	0	0	0	0	0	0	0
0	0	252	0	0	0	115	0	104	0
0	0	292	40	0	0	155	0	144	0
299	369	716	464	424	0	579	316	568	284
0	0	137	0	0	0	0	0	0	0
0	53	400	148	108	0	263	0	252	0
0	0	148	0	0	0	11	0	0	0
15	85	432	180	140	0	295	32	284	0

0	0	0	0	0	299	0	0	0	15
70	0	0	0	0	369	0	53	0	85
417	347	0	252	292	716	137	400	148	432
165	95	0	0	40	464	0	148	0	180
125	55	0	0	0	424	0	108	0	140
0	0	0	0	0	0	0	0	0	0
280	210	0	115	155	579	0	263	11	295
17	0	0	0	0	316	0	0	0	32
269	199	0	104	144	568	0	252	0	284
0	0	0	0	0	284	0	0	0	0

0	0	0	270	110	0	355	170	0	0
230	0	50	500	340	200	585	400	100	30
180	0	0	450	290	150	535	350	50	0
0	0	0	0	0	0	85	0	0	0
0	0	0	160	0	0	245	60	0	0
30	0	0	300	140	0	385	200	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	100	0	0	185	0	0	0
130	0	0	400	240	100	485	300	0	0
200	0	20	470	310	170	555	370	70	0

0	230	180	0	0	30	0	0	130	200
0	0	0	0	0	0	0	0	0	0
0	50	0	0	0	0	0	0	0	20
270	500	450	0	160	300	0	100	400	470
110	340	290	0	0	140	0	0	240	310
0	200	150	0	0	0	0	0	100	170
355	585	535	85	245	385	0	185	485	555
170	400	350	0	60	200	0	0	300	370
0	100	50	0	0	0	0	0	0	70
0	30	0	0	0	0	0	0	0	0
