1647 1138 1393 1451 1507 1482 1555 1595 1352 1576

60

33 55 44 41 39 40 37 35 46 36

8 19 51 22

4178

0	0	0	0	0	0	0	0	151	0
670	0	263	304	569	364	564	589	821	490
407	0	0	41	306	101	301	326	558	227
366	0	0	0	265	60	260	285	517	186
101	0	0	0	0	0	0	20	252	0
306	0	0	0	205	0	200	225	457	126
106	0	0	0	5	0	0	25	257	0
81	0	0	0	0	0	0	0	232	0
0	0	0	0	0	0	0	0	0	0
180	0	0	0	79	0	74	99	331	0

0	670	407	366	101	306	106	81	0	180
0	0	0	0	0	0	0	0	0	0
0	263	0	0	0	0	0	0	0	0
0	304	41	0	0	0	0	0	0	0
0	569	306	265	0	205	5	0	0	79
0	364	101	60	0	0	0	0	0	0
0	564	301	260	0	200	0	0	0	74
0	589	326	285	20	225	25	0	0	99
151	821	558	517	252	457	257	232	0	331
0	490	227	186	0	126	0	0	0	0

0	80	110	0	120	0	70	10	0	110
0	0	30	0	40	0	0	0	0	30
0	0	0	0	10	0	0	0	0	0
10	90	120	0	130	0	80	20	0	120
0	0	0	0	0	0	0	0	0	0
10	90	120	0	130	0	80	20	0	120
0	10	40	0	50	0	0	0	0	40
0	70	100	0	110	0	60	0	0	100
20	100	130	10	140	10	90	30	0	130
0	0	0	0	10	0	0	0	0	0

0	0	0	10	0	10	0	0	20	0
80	0	0	90	0	90	10	70	100	0
110	30	0	120	0	120	40	100	130	0
0	0	0	0	0	0	0	0	10	0
120	40	10	130	0	130	50	110	140	10
0	0	0	0	0	0	0	0	10	0
70	0	0	80	0	80	0	60	90	0
10	0	0	20	0	20	0	0	30	0
0	0	0	0	0	0	0	0	0	0
110	30	0	120	0	120	40	100	130	0
